,seed,backend,dt,neuron_type,n_type,N,min_max_rate,max_max_rate,tau,tau_control,dimensions,base_theta,effective_theta,within_gain_noise_std,between_gain_noise_std,input_noise_std,task_type,full_output,trial_duration,prestim,rt,estimate,control
19688,20655,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.0,0.0,0.0,prospective_sensory,False,0.25,0.0,,0.612791700022606,4.0
19689,3733,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.8,0.0,0.4,prospective_sensory,False,0.7071067811865476,0.0,,0.6332241560979546,1.414213562373095
19690,3681,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.0,0.005,0.0,prospective_sensory,False,0.3535533905932738,0.0,,0.6186423864362973,2.829490824592844
19691,4121,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.8,0.005,0.8,prospective_sensory,False,4.0,0.0,,0.64870723702594,0.2548420557732016
19692,18622,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.0,0.01,0.4,prospective_sensory,False,1.4142135623730951,0.0,,0.6410962980659853,0.734850346076356
19693,22001,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.4,0.01,0.8,prospective_sensory,False,1.0,0.0,,0.6366329515931328,1.0155738608436047
19694,24264,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.0,0.01,0.0,prospective_sensory,False,2.8284271247461903,0.0,,0.6270218420955892,0.3519228261727219
19695,15893,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.8,0.005,0.8,prospective_sensory,False,0.7071067811865476,0.0,,0.6081111028017235,1.4140243375337145
19696,21620,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.0,0.01,0.8,prospective_sensory,False,4.0,0.0,,0.6107273431344995,0.24465013378001532
19697,15756,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.8,0.005,0.0,prospective_sensory,False,2.8284271247461903,0.0,,0.6284837107406228,0.3447692665128129
19698,4385,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.0,0.005,0.8,prospective_sensory,False,0.25,0.0,,0.56989431247409,3.990453055234392
19699,20459,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.0,0.01,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.6030455244026695,2.8354764597859536
19700,10633,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.4,0.01,0.4,prospective_sensory,False,2.0,0.0,,0.6287049285077901,0.4876489504308305
